id,prompt,test_list,checker
1,Write a function to find words that are longer than n characters from a given list of words.,"[ ""assert long_words(3,\""python is a programming language\"")==['python','programming','language']"", ""assert long_words(2,\""writing a program\"")==['writing','program']"", ""assert long_words(5,\""sorting list\"")==['sorting']"" ]",Write a function to find words that are longer than n characters from a given list of words.
2,Write a function to calculate the value of 'a' to the power 'b'.,"[ ""assert power(3,4) == 81"", ""assert power(2,3) == 8"", ""assert power(5,5) == 3125"" ]",Write a function to calculate the value of 'a' to the power 'b'.
3,"Write a function to find the next smallest palindrome of a specified integer, returned as an integer.","[ ""assert next_smallest_palindrome(99)==101"", ""assert next_smallest_palindrome(1221)==1331"", ""assert next_smallest_palindrome(120)==121"" ]","Write a function to find the next smallest palindrome of a specified integer, returned as an integer."
4,Write a python function to find the element that appears only once in a sorted array.,"[ ""assert search([1,1,2,2,3]) == 3"", ""assert search([1,1,3,3,4,4,5,5,7,7,8]) == 8"", ""assert search([1,2,2,3,3,4,4]) == 1"" ]",Write a python function to find the element that appears only once in a sorted array.
5,Write a function to check whether all dictionaries in a list are empty or not.,"[ ""assert empty_dit([{},{},{}])==True"", ""assert empty_dit([{1,2},{},{}])==False"", ""assert empty_dit({})==True"" ]",Write a function to check whether all dictionaries in a list are empty or not.
6,Write a python function to find the maximum difference between any two elements in a given array.,"[ ""assert max_Abs_Diff((2,1,5,3)) == 4"", ""assert max_Abs_Diff((9,3,2,5,1)) == 8"", ""assert max_Abs_Diff((3,2,1)) == 2"" ]",Write a python function to find the maximum difference between any two elements in a given array.
7,Write a function to count the number of occurrences of a number in a given list.,"[ ""assert frequency([1,2,3], 4) == 0"", ""assert frequency([1,2,2,3,3,3,4], 3) == 3"", ""assert frequency([0,1,2,3,1,2], 1) == 2"" ]",Write a function to count the number of occurrences of a number in a given list.
8,Write a python function to remove first and last occurrence of a given character from the string.,"[ ""assert remove_Occ(\""hello\"",\""l\"") == \""heo\"""", ""assert remove_Occ(\""abcda\"",\""a\"") == \""bcd\"""", ""assert remove_Occ(\""PHP\"",\""P\"") == \""H\"""" ]",Write a python function to remove first and last occurrence of a given character from the string.
9,Write a python function to check if a given number is one less than twice its reverse.,"[ ""assert check(70) == False"", ""assert check(23) == False"", ""assert check(73) == True"" ]",Write a python function to check if a given number is one less than twice its reverse.
10,Write a python function to check whether the given array is monotonic or not.,"[ ""assert is_Monotonic([6, 5, 4, 4]) == True"", ""assert is_Monotonic([1, 2, 2, 3]) == True"", ""assert is_Monotonic([1, 3, 2]) == False"" ]",Write a python function to check whether the given array is monotonic or not.
